BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
14558 KESWICK ST,425463899040,,NOT COMPLIED,,,,,,,,,,,,,,91405,2021,,,,,,,,028,"20,000 to 49,999 sqft"
5500 S FIGUEROA ST,476102819647,138.1,NOT COMPLIED,29.5,29.5,15,No,Not Available,Not Available,"Vert Energy Group, Inc.",44769,Not Available,Not Available,1,100,Not Available,90037,2020,Multifamily Housing,54.7,99.9,2859.8,55.3,100.5,2001,054,"20,000 to 49,999 sqft"
5115 WILSHIRE BLVD,458293845246,405.87,COMPLIED,-4.4,-4.4,56,No,Not Available,Not Available,"Conservice, LLC",169095,Not Available,Not Available,1,95,Not Available,90036,2024,Multifamily Housing,40.8,73.5,5969.6,40.3,72.9,2005,035,"100,000+ sqft"
5650 FAIR AVE,448460885789,65.9,COMPLIED,-27,-27,88,No,Not Available,Not Available,Unknown,31030,Not Available,Not Available,1,100,Not Available,91601,2021,Multifamily Housing,38.4,59.8,1.6,39.1,60.6,2010,011,"20,000 to 49,999 sqft"
4715 S ALAMEDA ST,488532822539,64.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Victory 2020, LLC",65000,Not Available,Not Available,1,100,Not Available,90058,2021,Manufacturing/Industrial Plant,16.3,45.6,244.3,16.3,45.6,2007,011,"50,000 to 99,999 sqft"
1615 N MARTEL AVE,455587859077,33.5,COMPLIED,-52.8,-52.8,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",27777,Not Available,Not Available,1,100,Not Available,90046,2020,Multifamily Housing,20,40.3,837.1,20,40.3,1961,015,"20,000 to 49,999 sqft"
5515 PENFIELD AVE,389675885105,,NOT COMPLIED,,,,,,,,,,,,,,91364,2021,,,,,,,,026,"20,000 to 49,999 sqft"
1625 STONER AVE,423570837725,24.2,COMPLIED,-70.2,-70.2,100,Yes,Not Available,Not Available,Unknown,30095,Not Available,Not Available,1,100,Not Available,90025,2020,Multifamily Housing,13.8,24.1,1303.9,13.9,24.2,1960,022,"20,000 to 49,999 sqft"
1762 WESTWOOD BLVD,429165841119,74.3,COMPLIED,-32.2,-32.2,76,Yes,Not Available,Not Available,Robhana Group,36065,531.1,14.72,1,100,Not Available,90024,2020,Office,34,95.3,531.1,33.8,94.7,1985,040,"20,000 to 49,999 sqft"
8435 CANOGA AVE,380838904006,7.3,COMPLIED,-85.3,-85.3,Not Available,No,Not Available,Not Available,Gipson Hoffman & Pancione,21824,Not Available,Not Available,1,100,Not Available,91304,2023,Worship Facility,4.7,13.2,34.4,4.7,13.2,1979,078,"20,000 to 49,999 sqft"
