iso3,country,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,co2_emission_tons,HDI_Category
AFG,Afghanistan,2022,0.462,62.879,41.128771,0.332443297,0.534144723,66.213,59.766,10.70538475,8.053256911,13.22844948,2.514790058,1.174129963,3.912739992,1335.205733,395.9154586,2256.217507,0.622,0.306318324,Low
ALB,Albania,2022,0.789,76.833,2.842321,0.780277105,0.798432468,79.472,74.502,14.48746967,14.68103981,14.29220009,10.12114431,9.811468219,10.43385538,15293.32651,13198.53956,17398.00369,0.977,1.717757671,High
DZA,Algeria,2022,0.745,77.129,44.903225,0.681844236,0.773800103,78.457,75.853,15.48787975,16.26417923,14.74388027,6.987443608,6.490567748,7.481537359,10978.40571,3841.656612,17858.79078,0.881,4.079540189,High
AND,Andorra,2022,0.884,83.552,0.079824,0.398112008,0.473847303,85.838,81.43,12.7837801,12.76506042,12.81062984,11.61343956,11.52258968,11.70438004,54233.44948,4001.391827,5883.311725,0.84,4.593592631,Very High
AGO,Angola,2022,0.591,61.929,35.588987,0.560890287,0.619679764,64.541,59.351,12.1676,11.5354,12.9099,5.844291601,4.462809114,7.1879602,5327.788251,4696.356687,5973.845631,0.905,0.507358992,Medium
ATG,Antigua and Barbuda,2022,0.826,79.236,0.093763,0.487621936,0.627550845,81.645,76.507,15.51232774,16.74628979,14.35053709,10.54622968,10.3442228,10.59597506,18783.96536,2707.298725,17177.32849,0.777,6.401055579,Very High
ZZE.AS,Arab States,2022,0.704,71.30941731,459.3184585,0.645935202,0.736282086,73.46401045,69.33299093,11.89554064,11.83396355,12.0008641,7.764183628,7.198566806,8.319691209,14390.85059,5467.690945,22726.35323,0.877,4.557463273,High
ARG,Argentina,2022,0.849,76.064,45.510318,0.841405452,0.845472815,79.277,72.851,18.97950935,20.91489983,17.13032913,11.14408016,11.39165974,10.85797977,22047.97131,16933.06291,27264.83091,0.995,4.190779468,Very High
ARM,Armenia,2022,0.786,73.372,2.780469,0.795110468,0.774941834,78.447,67.866,14.40561008,14.81291008,14.02233982,11.33030033,11.32151985,11.34119034,15388.29976,13442.50133,17770.4153,1.026,2.531087713,High
AUS,Australia,2022,0.946,83.579,26.1774135,0.934601518,0.955940587,85.453,81.708,21.0800209,21.98143005,20.19375992,12.72681999,12.81058979,12.63971043,49257.1352,41131.47085,57495.77158,0.978,14.91476303,Very High
AUT,Austria,2022,0.926,82.412,8.939617,0.911591936,0.937756448,84.6,80.15,16.36746025,16.83849907,15.92267036,12.30571367,12.04894857,12.57887231,56529.66329,41899.21124,71616.2043,0.972,7.399461247,Very High
AZE,Azerbaijan,2022,0.76,73.488,10.358074,0.743349756,0.773371293,76.249,70.55,12.71063042,12.67574024,12.74398041,10.55612992,10.21799194,10.91843537,15018.05443,11526.15794,18603.12947,0.961,3.717029937,High
BHS,Bahamas,2022,0.82,74.358,0.409984,0.822293357,0.816891253,77.843,70.757,11.89137971,12.16470981,11.61521687,12.73161494,12.82493607,12.65641572,32534.88784,28374.91931,37084.66455,1.007,5.14996102,Very High
BHR,Bahrain,2022,0.888,79.246,1.472233,0.847333815,0.90429854,80.497,78.242,16.29968071,17.0064106,15.73036003,11.04658985,10.78437042,11.17325974,48731.44564,22722.17852,64699.53364,0.937,26.05303892,Very High
