Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Y_lat,X_lon
2019,MO,Ray County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,531.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Black,T2,29177,39.353613546,-93.99681334
2019,MT,Montana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,Black,T2,30,47.0332,-109.653
2019,MT,Montana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Black,T2,30,47.0332,-109.653
2019,MT,Montana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,234,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Hispanic,T2,30,47.0332,-109.653
2019,MT,Montana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,285.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Hispanic,T2,30,47.0332,-109.653
2019,MT,Montana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,186.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Hispanic,T2,30,47.0332,-109.653
2019,NH,New Hampshire,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,147.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Hispanic,T2,33,43.6834,-71.5794
2019,NH,New Hampshire,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Hispanic,T2,33,43.6834,-71.5794
2019,NH,New Hampshire,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,73.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Asian and Pacific Islander,T2,33,43.6834,-71.5794
2019,OH,Scioto County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,581,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,White,T2,39145,38.80063433,-82.99813486
2019,UT,Davis County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,357,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Overall,T2,49011,40.989992674,-112.1101088
2019,WA,Grant County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,412.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,White,T2,53025,47.204310222,-119.4517205
2019,AK,Aleutians East,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,182.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02013,55.442393334,-161.9599296
2019,AK,Aleutians West,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,172.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02016,53.648343064,-166.9175329
2019,AK,Anchorage,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,255.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02020,61.159144533,-149.1045591
2019,AK,Bethel,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,343.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02050,60.923647647,-159.7532618
2019,AK,Bristol Bay,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,Overall,T2,02060,58.753495988,-156.694662
2019,AK,Denali,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,218.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02068,63.67881971,-149.9608012
2019,AK,Dillingham,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,363.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02070,59.803703891,-158.1813501
2019,AK,Fairbanks North Star,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,283.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02090,64.809319444,-146.5842931
2019,AK,Haines,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,225.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02100,59.141478853,-135.5151943
2019,AK,Hoonah-Angoon,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,211.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02105,58.717908328,-137.1866487
2019,AK,Juneau,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,228.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02110,58.463936686,-134.1669508
2019,AK,Kenai Peninsula,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,260.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02122,60.193262972,-150.2807443
2019,AK,Ketchikan Gateway,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,275.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02130,55.621720661,-130.7595837
2019,AK,Kodiak Island,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,268.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02150,57.715764645,-153.8367593
2019,AK,Kusilvak,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,52.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02158,62.159507006,-163.3489828
2019,AK,Lake and Peninsula,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,277.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02164,58.65264198,-156.1838384
2019,AK,Matanuska-Susitna,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,223.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02170,62.316474745,-149.5987212
2019,AK,Nome,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,442.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02180,64.903977039,-163.9462296
2019,AK,North Slope,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,278.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02185,69.309529075,-153.3965423
2019,AK,Northwest Arctic,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,404.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02188,67.065076558,-159.7268825
2019,AK,Petersburg,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,218.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02195,56.835797242,-133.229917
2019,AK,Prince of Wales-Hyder,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,279.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02198,55.612913536,-132.7928046
2019,AK,Sitka,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,148.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,02220,57.236874416,-135.2842908
